Month,Day,Hour,Irradiance,Temperature,
1,16,17,155,15.8,
1,16,18,100,15.1,
1,16,19,5,14.4,
1,16,20,0,13.9,
1,16,21,0,13.4,
1,16,22,0,12.9,
1,16,23,0,12.3,
1,16,24,0,11.8,
1,17,1,0,11.2,
1,17,2,0,10.6,
1,17,3,0,9.9,
1,17,4,0,9.3,
1,17,5,0,8.7,
1,17,6,0,8.0,
1,17,7,68,9.1,
1,17,8,309,11.2,
1,17,9,501,12.9,
1,17,10,821,15.1,
1,17,11,940,16.9,
1,17,12,1036,18.3,
1,17,13,985,19.2,
1,17,14,854,19.5,
1,17,15,703,19.5,
1,17,16,603,19.2,
1,17,17,425,18.5,
1,17,18,270,17.5,
1,17,19,68,16.2,
1,17,20,0,15.4,
1,17,21,0,14.7,
1,17,22,0,13.9,
1,17,23,0,13.2,
1,17,24,0,12.4,
1,18,1,0,11.9,
1,18,2,0,11.3,
1,18,3,0,10.7,
1,18,4,0,10.1,
1,18,5,0,9.5,
1,18,6,0,8.9,
1,18,7,51,9.8,
1,18,8,217,11.3,
1,18,9,486,13.3,
1,18,10,686,15.2,
1,18,11,901,17.1,
1,18,12,953,18.5,
1,18,13,959,19.5,
1,18,14,940,20.2,
1,18,15,842,20.5,
1,18,16,727,20.6,
1,18,17,514,20.1,
1,18,18,329,19.3,
1,18,19,71,17.9,
1,18,20,0,17.1,
1,18,21,0,16.3,
1,18,22,0,15.5,
1,18,23,0,14.7,
1,18,24,0,14.0,
1,19,1,0,13.3,
1,19,2,0,12.7,
1,19,3,0,12.0,
1,19,4,0,11.4,
1,19,5,0,10.7,
1,19,6,0,10.1,
1,19,7,52,10.9,
1,19,8,229,12.4,
1,19,9,539,14.7,
1,19,10,735,16.7,
1,19,11,853,18.3,
1,19,12,971,19.7,
1,19,13,972,20.6,
1,19,14,941,21.3,
1,19,15,866,21.7,
1,19,16,679,21.6,
1,19,17,443,20.9,
1,19,18,268,19.9,
1,19,19,62,18.6,
1,19,20,0,17.8,
1,19,21,0,17.0,
1,19,22,0,16.2,
1,19,23,0,15.4,
1,19,24,0,14.6,
1,20,1,0,13.9,
1,20,2,0,13.2,
1,20,3,0,12.6,
1,20,4,0,11.9,
1,20,5,0,11.2,
1,20,6,0,10.5,
1,20,7,49,11.3,
1,20,8,200,12.6,
1,20,9,511,14.8,
1,20,10,796,17.1,
1,20,11,773,18.4,
1,20,12,848,19.5,
1,20,13,784,20.1,
1,20,14,778,20.5,
1,20,15,647,20.5,
1,20,16,534,20.3,
1,20,17,408,19.8,
1,20,18,253,19.0,
1,20,19,41,17.8,
1,20,20,0,16.9,
1,20,21,0,16.1,
1,20,22,0,15.3,
1,20,23,0,14.5,
1,20,24,0,13.6,
1,21,1,0,13.0,
1,21,2,0,12.3,
1,21,3,0,11.6,
1,21,4,0,10.9,
1,21,5,0,10.2,
1,21,6,0,9.5,
1,21,7,43,10.3,
1,21,8,253,12.1,
1,21,9,558,14.5,
1,21,10,789,16.7,
1,21,11,996,18.7,
1,21,12,1130,20.4,
1,21,13,1170,21.7,
1,21,14,1129,22.6,
1,21,15,1014,23.1,
1,21,16,828,23.2,
1,21,17,607,22.6,
1,21,18,308,21.5,
1,21,19,43,19.8,
1,21,20,0,18.9,
1,21,21,0,17.9,
1,21,22,0,16.9,
1,21,23,0,15.9,
1,21,24,0,14.9,
1,22,1,0,14.1,
1,22,2,0,13.2,
1,22,3,0,12.3,
1,22,4,0,11.4,
1,22,5,0,10.5,
1,22,6,0,9.5,
1,22,7,63,10.6,
1,22,8,325,12.8,
1,22,9,612,15.2,
1,22,10,852,17.3,
1,22,11,1036,19.3,
1,22,12,1156,20.9,
1,22,13,1203,22.2,
1,22,14,1157,23.0,
1,22,15,1041,23.4,
1,22,16,848,23.4,
1,22,17,599,22.7,
1,22,18,211,21.2,
1,22,19,27,19.5,
1,22,20,0,18.6,
1,22,21,0,17.8,
1,22,22,0,16.9,
1,22,23,0,16.0,
1,22,24,0,15.1,
1,23,1,0,14.4,
1,23,2,0,13.7,
1,23,3,0,13.0,
1,23,4,0,12.3,
1,23,5,0,11.6,
1,23,6,0,11.0,
1,23,7,58,11.9,
1,23,8,229,13.4,
1,23,9,382,14.7,
1,23,10,564,16.1,
1,23,11,733,17.5,
1,23,12,779,18.6,
1,23,13,740,19.3,
1,23,14,750,19.8,
1,23,15,607,19.9,
1,23,16,384,19.4,
1,23,17,306,18.9,
1,23,18,226,18.2,
1,23,19,44,17.2,
1,23,20,0,16.3,
1,23,21,0,15.5,
1,23,22,0,14.6,
1,23,23,0,13.7,
1,23,24,0,12.8,
1,24,1,0,12.0,
1,24,2,0,11.2,
1,24,3,0,10.4,
1,24,4,0,9.5,
1,24,5,0,8.7,
1,24,6,0,7.8,
1,24,7,27,8.3,
1,24,8,167,9.5,
1,24,9,386,11.1,
1,24,10,597,12.9,
1,24,11,848,14.8,
1,24,12,905,16.2,
1,24,13,909,17.2,
1,24,14,897,18.0,
1,24,15,812,18.4,
1,24,16,670,18.4,
1,24,17,479,18.0,
1,24,18,273,17.1,
1,24,19,56,15.9,
1,24,20,0,15.2,
1,24,21,0,14.6,
1,24,22,0,13.9,
1,24,23,0,13.3,
1,24,24,0,12.6,
1,25,1,0,12.2,
1,25,2,0,11.7,
1,25,3,0,11.2,
1,25,4,0,10.7,
1,25,5,0,10.2,
1,25,6,0,9.8,
1,25,7,57,10.7,
1,25,8,191,11.9,
1,25,9,364,13.2,
1,25,10,391,14.0,
1,25,11,437,14.7,
1,25,12,760,16.0,
1,25,13,609,16.6,
1,25,14,380,16.5,
1,25,15,570,16.8,
1,25,16,726,17.3,
1,25,17,304,16.9,
1,25,18,195,16.3,
1,25,19,51,15.4,
1,25,20,0,15.0,
1,25,21,0,14.5,
1,25,22,0,14.1,
1,25,23,0,13.6,
1,25,24,0,13.1,
1,26,1,0,12.8,
1,26,2,0,12.5,
1,26,3,0,12.2,
1,26,4,0,11.8,
1,26,5,0,11.5,
1,26,6,0,11.2,
1,26,7,49,12.0,
1,26,8,226,13.6,
1,26,9,421,15.2,
1,26,10,612,16.9,
1,26,11,698,18.2,
1,26,12,783,19.3,
1,26,13,962,20.5,
1,26,14,814,21.1,
1,26,15,684,21.3,
1,26,16,632,21.4,
1,26,17,461,21.0,
1,26,18,234,20.1,
1,26,19,70,19.0,
1,26,20,0,18.3,
1,26,21,0,17.6,
1,26,22,0,16.8,
1,26,23,0,16.1,
1,26,24,0,15.4,
1,27,1,0,14.8,
1,27,2,0,14.2,
1,27,3,0,13.5,
1,27,4,0,12.9,
1,27,5,0,12.2,
1,27,6,0,11.6,
1,27,7,45,12.3,
1,27,8,212,13.8,
1,27,9,271,14.6,
1,27,10,611,16.4,
1,27,11,789,18.2,
1,27,12,745,19.2,
1,27,13,577,19.5,
1,27,14,566,19.7,
1,27,15,613,19.9,
1,27,16,468,19.8,
1,27,17,404,19.5,
1,27,18,138,18.7,
1,27,19,30,17.7,
1,27,20,0,16.9,
1,27,21,0,16.1,
1,27,22,0,15.3,
1,27,23,0,14.5,
1,27,24,0,13.7,
1,28,1,0,13.1,
1,28,2,0,12.4,
1,28,3,0,11.8,
1,28,4,0,11.1,
1,28,5,0,10.4,
1,28,6,0,9.8,
1,28,7,40,10.4,
1,28,8,273,12.3,
1,28,9,438,13.8,
1,28,10,628,15.3,
1,28,11,808,16.8,
1,28,12,1014,18.4,
1,28,13,928,19.3,
1,28,14,728,19.6,
1,28,15,593,19.5,
1,28,16,438,19.0,
1,28,17,295,18.3,
1,28,18,96,17.2,
1,28,19,35,16.1,
1,28,20,0,15.5,
1,28,21,0,14.8,
1,28,22,0,14.2,
1,28,23,0,13.5,
1,28,24,0,12.8,
1,29,1,0,12.3,
1,29,2,0,11.6,
1,29,3,0,11.0,
1,29,4,0,10.4,
1,29,5,0,9.8,
1,29,6,0,9.1,
1,29,7,60,10.2,
1,29,8,314,12.4,
1,29,9,549,14.4,
1,29,10,704,16.2,
1,29,11,798,17.5,
1,29,12,943,18.8,
1,29,13,981,19.8,
1,29,14,972,20.6,
1,29,15,851,20.9,
1,29,16,746,21.0,
1,29,17,511,20.4,
1,29,18,303,19.5,
1,29,19,64,18.1,
1,29,20,0,17.2,
1,29,21,0,16.3,
1,29,22,0,15.3,
1,29,23,0,14.4,
1,29,24,0,13.5,
1,30,1,0,12.8,
1,30,2,0,12.0,
1,30,3,0,11.2,
1,30,4,0,10.4,
1,30,5,0,9.7,
1,30,6,0,8.9,
1,30,7,36,9.5,
1,30,8,199,10.9,
1,30,9,504,13.1,
1,30,10,766,15.3,
1,30,11,967,17.4,
1,30,12,1084,19.1,
1,30,13,1135,20.4,
1,30,14,1091,21.3,
1,30,15,968,21.7,
1,30,16,782,21.7,
1,30,17,569,21.2,
1,30,18,318,20.1,
1,30,19,52,18.6,
1,30,20,0,17.9,
1,30,21,0,17.2,
1,30,22,0,16.5,
1,30,23,0,15.8,
1,30,24,0,15.1,
1,31,1,0,14.6,
1,31,2,0,14.1,
1,31,3,0,13.6,
1,31,4,0,13.0,
1,31,5,0,12.5,
1,31,6,0,12.0,
1,31,7,51,12.8,
1,31,8,260,14.5,
1,31,9,563,16.8,
1,31,10,679,18.4,
1,31,11,838,19.9,
1,31,12,847,20.9,
1,31,13,886,21.7,
1,31,14,645,21.8,
1,31,15,537,21.6,
1,31,16,492,21.3,
1,31,17,403,20.8,
1,31,18,247,20.0,
1,31,19,44,18.8,
1,31,20,0,18.2,
1,31,21,0,17.6,
1,31,22,0,16.9,
1,31,23,0,16.3,
1,31,24,0,15.6,
2,1,1,0,15.2,
2,1,2,0,14.8,
2,1,3,0,14.3,
2,1,4,0,13.9,
2,1,5,0,13.5,
2,1,6,0,13.1,
2,1,7,32,13.7,
2,1,8,82,14.2,
2,1,9,312,15.8,
2,1,10,413,17.0,
2,1,11,616,18.5,
2,1,12,600,19.5,
2,1,13,865,20.9,
2,1,14,735,21.6,
2,1,15,196,20.8,
2,1,16,405,20.8,
2,1,17,114,19.9,
2,1,18,112,19.3,
2,1,19,20,18.5,
2,1,20,0,17.7,
2,1,21,0,17.0,
2,1,22,0,16.2,
2,1,23,0,15.5,
2,1,24,0,14.7,
2,2,1,0,13.8,
2,2,2,0,12.7,
2,2,3,0,11.7,
2,2,4,0,10.7,
2,2,5,0,9.7,
2,2,6,0,8.7,
2,2,7,47,9.6,
2,2,8,348,12.5,
2,2,9,563,14.9,
2,2,10,773,17.2,
2,2,11,930,19.1,
2,2,12,1041,20.8,
2,2,13,1057,22.0,
2,2,14,1023,22.8,
2,2,15,904,23.2,
2,2,16,740,23.1,
2,2,17,498,22.3,
2,2,18,256,20.9,
2,2,19,53,19.2,
2,2,20,0,18.1,
2,2,21,0,16.9,
2,2,22,0,15.8,
2,2,23,0,14.7,
2,2,24,0,13.5,
2,3,1,0,12.6,
2,3,2,0,11.6,
2,3,3,0,10.6,
2,3,4,0,9.6,
2,3,5,0,8.6,
2,3,6,0,7.6,
2,3,7,50,8.5,
2,3,8,343,11.2,
2,3,9,619,13.7,
2,3,10,860,16.1,
2,3,11,1046,18.2,
2,3,12,1161,19.9,
2,3,13,1200,21.2,
2,3,14,1161,22.1,
2,3,15,1040,22.5,
2,3,16,848,22.4,
2,3,17,585,21.6,
2,3,18,312,20.2,
2,3,19,51,18.3,
2,3,20,0,17.1,
2,3,21,0,16.0,
2,3,22,0,14.8,
2,3,23,0,13.6,
2,3,24,0,12.4,
2,4,1,0,11.7,
2,4,2,0,10.9,
2,4,3,0,10.0,
2,4,4,0,9.2,
2,4,5,0,8.4,
2,4,6,0,7.5,
2,4,7,56,8.4,
2,4,8,271,10.2,
2,4,9,554,12.3,
2,4,10,716,14.1,
